ACER, NITRO 5 AN515-56-72GU - 15.6 inch - Intel Core i7 - 16 GB - 512 GB - GTX 1650,€1149,0,0,https://www.mediamarkt.nl//nl/product/_acer-nitro-5-an515-56-72gu-1734634.html
LENOVO, LEGION 5 PRO - 16 inch - Intel Core i7 - 32 GB - 1 TB - GeForce RTX 3070 Ti,€1999,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-pro-16-inch-intel-core-i7-32-gb-1-tb-geforce-rtx-3070-ti-1739850.html
MEDION, ERAZER Major X20 MD62520 NL,€2199,0,0,https://www.mediamarkt.nl//nl/product/_medion-erazer-major-x20-md62520-nl-1756494.html
MSI, VECTOR GP66 12UGS-041NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - RTX 3070 Ti,€1929,0,0,https://www.mediamarkt.nl//nl/product/_msi-vector-gp66-12ugs-041nl-1719537.html
MSI, Pulse 15 B13VFK-268NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 4060,€1899,0,0,https://www.mediamarkt.nl//nl/product/_msi-pulse-15-b13vfk-268nl-156-inch-intel-core-i7-16-gb-1-tb-geforce-rtx-4060-1752318.html
MSI, Katana GF66 (12UC-005NL),€1399,1,5,https://www.mediamarkt.nl//nl/product/_msi-katana-gf66-12uc-005nl-1719492.html
ASUS, ROG Strix G17 G713RC-HX057W - 17.3 inch 144Hz - AMD Ryzen 7 - 16GB - 512 GB - GeForce RTX 3050,€1299,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-strix-g17-g713rc-hx057w-173-inch-144hz-amd-ryzen-7-16gb-512-gb-geforce-rtx-3050-1758027.html
ASUS, TUF Gaming F15 FX507ZC4-HN083W - 15.6 inch 144Hz - Intel Core i5 - 16GB - 512 GB - GeForce RTX 3050,€1099,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-f15-fx507zc4-hn083w-156-inch-144hz-intel-core-i5-16gb-512-gb-geforce-rtx-3050-1758014.html
LENOVO, Gaming 3 15-Ryzen 5 16GB 512GB RTX3050TI,€999,1,2,https://www.mediamarkt.nl//nl/product/_lenovo-gaming-3-15-ryzen-5-16gb-512gb-rtx3050ti-1696811.html
MSI, CREATOR M16 A12UC-009NL - 15.6 inch - Intel Core i7 - 16 GB - 512 GB - RTX 3050,€1299,0,0,https://www.mediamarkt.nl//nl/product/_msi-creator-m16-a12uc-009nl-1743297.html
MSI, Katana GF76 (11UC-655NL),€999,0,0,https://www.mediamarkt.nl//nl/product/_msi-katana-gf76-11uc-655nl-1719483.html
LENOVO, IdeaPad Gaming 3 15-i5-11300H 8GB 512GB Zwart,€1099,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-ideapad-gaming-3-15-i5-11300h-8gb-512gb-zwart-1696882.html
LENOVO, Lenovo Legion 7 16ARHA7,€2949,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-lenovo-legion-7-16arha7-1739844.html
HP, OMEN 16-N0270ND - 16.1 inch - AMD Ryzen 7 - 16 GB - 1 TB - GeForce RTX 3070 Ti,€2099,0,0,https://www.mediamarkt.nl//nl/product/_hp-omen-16-n0270nd-1739428.html
ACER, Predator Helios 300 (PH315-54-79Q7),€1799,0,0,https://www.mediamarkt.nl//nl/product/_acer-predator-helios-300-ph315-54-79q7-1698855.html
ACER, NITRO 5 AN515-56-72GU - 15.6 inch - Intel Core i7 - 16 GB - 512 GB - GTX 1650,€1149,0,0,https://www.mediamarkt.nl//nl/product/_acer-nitro-5-an515-56-72gu-1734634.html
LENOVO, LEGION 5 PRO - 16 inch - Intel Core i7 - 32 GB - 1 TB - GeForce RTX 3070 Ti,€1999,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-pro-16-inch-intel-core-i7-32-gb-1-tb-geforce-rtx-3070-ti-1739850.html
MEDION, ERAZER Major X20 MD62520 NL,€2199,0,0,https://www.mediamarkt.nl//nl/product/_medion-erazer-major-x20-md62520-nl-1756494.html
MSI, VECTOR GP66 12UGS-041NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - RTX 3070 Ti,€1929,0,0,https://www.mediamarkt.nl//nl/product/_msi-vector-gp66-12ugs-041nl-1719537.html
MSI, Pulse 15 B13VFK-268NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 4060,€1899,0,0,https://www.mediamarkt.nl//nl/product/_msi-pulse-15-b13vfk-268nl-156-inch-intel-core-i7-16-gb-1-tb-geforce-rtx-4060-1752318.html
MSI, Katana GF66 (12UC-005NL),€1399,1,5,https://www.mediamarkt.nl//nl/product/_msi-katana-gf66-12uc-005nl-1719492.html
ASUS, ROG Strix G17 G713RC-HX057W - 17.3 inch 144Hz - AMD Ryzen 7 - 16GB - 512 GB - GeForce RTX 3050,€1299,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-strix-g17-g713rc-hx057w-173-inch-144hz-amd-ryzen-7-16gb-512-gb-geforce-rtx-3050-1758027.html
ASUS, TUF Gaming F15 FX507ZC4-HN083W - 15.6 inch 144Hz - Intel Core i5 - 16GB - 512 GB - GeForce RTX 3050,€1099,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-f15-fx507zc4-hn083w-156-inch-144hz-intel-core-i5-16gb-512-gb-geforce-rtx-3050-1758014.html
LENOVO, Gaming 3 15-Ryzen 5 16GB 512GB RTX3050TI,€999,1,2,https://www.mediamarkt.nl//nl/product/_lenovo-gaming-3-15-ryzen-5-16gb-512gb-rtx3050ti-1696811.html
MSI, CREATOR M16 A12UC-009NL - 15.6 inch - Intel Core i7 - 16 GB - 512 GB - RTX 3050,€1299,0,0,https://www.mediamarkt.nl//nl/product/_msi-creator-m16-a12uc-009nl-1743297.html
LENOVO, LEGION 5 - 15.6 inch - AMD Ryzen 7 - 16 GB - 512 GB - GeForce RTX 3060,€1299,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-15-ryzen7-16gb-512gb-1729756.html
,Acer Predator Triton 300 SE (PT314-51s-747E),€1599,0,0,https://www.mediamarkt.nl//nl/product/_predator-triton-300-se-pt314-51s-747e-1714252.html
ACER, PREDATOR TRITON 500 PT516-51S-703F - 16.0 inch - Intel Core i7 - 16 GB - 512 GB - RTX 3070,€1999,0,0,https://www.mediamarkt.nl//nl/product/_predator-triton-500-se-pt516-51s-703f-1714254.html
LENOVO, LEGION 5 - 15.6 inch - AMD Ryzen 7 - 16 GB - 512 GB - GeForce RTX 3050,€1249,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-15-ryzen7-16gb-512gb-rtx-3050-1729755.html
ASUS, ROG FLOW X13 GV301RC-LJ044W - 13.3 inch - AMD Ryzen 7 - 16 GB - 1 TB - RTX 3050,€1699,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-flow-x13-gv301rc-lj044w-1721476.html
ASUS, ROG Zephyrus G14 GA402NU-N2027W - 14 inch 165Hz - AMD Ryzen 7 - 16GB - 512 GB - GeForce RTX 4050,€1899,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-zephyrus-g14-ga402nu-n2027w-14-inch-165hz-amd-ryzen-7-16gb-512-gb-geforce-rtx-4050-1758032.html
MSI, Cyborg 15 A12VF-003NL - 15.6 inch - Intel Core i7 - 16 GB - 512 GB - GeForce RTX 4060,€1449,0,0,https://www.mediamarkt.nl//nl/product/_msi-cyborg-15-a12vf-003nl-156-inch-intel-core-i7-16-gb-512-gb-geforce-rtx-4060-1752308.html
LENOVO, LEGION 5 Pro 16 - Intel Core i7 - 16 GB - 1 TB - RTX 3060,€1899,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-pro-16-intel-core-i7-16-gb-1-tb-rtx-3060-1739848.html
MSI, VECTOR GP66 12UGS-041NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - RTX 3070 Ti,€1929,0,0,https://www.mediamarkt.nl//nl/product/_msi-vector-gp66-12ugs-041nl-1719537.html
MSI, Pulse 15 B13VFK-268NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 4060,€1899,0,0,https://www.mediamarkt.nl//nl/product/_msi-pulse-15-b13vfk-268nl-156-inch-intel-core-i7-16-gb-1-tb-geforce-rtx-4060-1752318.html
MSI, Katana GF66 (12UC-005NL),€1399,1,5,https://www.mediamarkt.nl//nl/product/_msi-katana-gf66-12uc-005nl-1719492.html
ASUS, ROG Strix G17 G713RC-HX057W - 17.3 inch 144Hz - AMD Ryzen 7 - 16GB - 512 GB - GeForce RTX 3050,€1299,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-strix-g17-g713rc-hx057w-173-inch-144hz-amd-ryzen-7-16gb-512-gb-geforce-rtx-3050-1758027.html
ASUS, TUF Gaming F15 FX507ZC4-HN083W - 15.6 inch 144Hz - Intel Core i5 - 16GB - 512 GB - GeForce RTX 3050,€1099,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-f15-fx507zc4-hn083w-156-inch-144hz-intel-core-i5-16gb-512-gb-geforce-rtx-3050-1758014.html
LENOVO, Gaming 3 15-Ryzen 5 16GB 512GB RTX3050TI,€999,1,2,https://www.mediamarkt.nl//nl/product/_lenovo-gaming-3-15-ryzen-5-16gb-512gb-rtx3050ti-1696811.html
MSI, CREATOR M16 A12UC-009NL - 15.6 inch - Intel Core i7 - 16 GB - 512 GB - RTX 3050,€1299,0,0,https://www.mediamarkt.nl//nl/product/_msi-creator-m16-a12uc-009nl-1743297.html
LENOVO, LEGION 5 - 15.6 inch - AMD Ryzen 7 - 16 GB - 512 GB - GeForce RTX 3060,€1299,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-15-ryzen7-16gb-512gb-1729756.html
,Acer Predator Triton 300 SE (PT314-51s-747E),€1599,0,0,https://www.mediamarkt.nl//nl/product/_predator-triton-300-se-pt314-51s-747e-1714252.html
ACER, PREDATOR TRITON 500 PT516-51S-703F - 16.0 inch - Intel Core i7 - 16 GB - 512 GB - RTX 3070,€1999,0,0,https://www.mediamarkt.nl//nl/product/_predator-triton-500-se-pt516-51s-703f-1714254.html
LENOVO, LEGION 5 - 15.6 inch - AMD Ryzen 7 - 16 GB - 512 GB - GeForce RTX 3050,€1249,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-15-ryzen7-16gb-512gb-rtx-3050-1729755.html
ASUS, ROG FLOW X13 GV301RC-LJ044W - 13.3 inch - AMD Ryzen 7 - 16 GB - 1 TB - RTX 3050,€1699,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-flow-x13-gv301rc-lj044w-1721476.html
ASUS, ROG Zephyrus G14 GA402NU-N2027W - 14 inch 165Hz - AMD Ryzen 7 - 16GB - 512 GB - GeForce RTX 4050,€1899,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-zephyrus-g14-ga402nu-n2027w-14-inch-165hz-amd-ryzen-7-16gb-512-gb-geforce-rtx-4050-1758032.html
MSI, Cyborg 15 A12VF-003NL - 15.6 inch - Intel Core i7 - 16 GB - 512 GB - GeForce RTX 4060,€1449,0,0,https://www.mediamarkt.nl//nl/product/_msi-cyborg-15-a12vf-003nl-156-inch-intel-core-i7-16-gb-512-gb-geforce-rtx-4060-1752308.html
MSI, VECTOR GP66 12UGS-041NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - RTX 3070 Ti,€1929,0,0,https://www.mediamarkt.nl//nl/product/_msi-vector-gp66-12ugs-041nl-1719537.html
MSI, Pulse 15 B13VFK-268NL - 15.6 inch - Intel Core i7 - 16 GB - 1 TB - GeForce RTX 4060,€1899,0,0,https://www.mediamarkt.nl//nl/product/_msi-pulse-15-b13vfk-268nl-156-inch-intel-core-i7-16-gb-1-tb-geforce-rtx-4060-1752318.html
MSI, Katana GF66 (12UC-005NL),€1399,1,5,https://www.mediamarkt.nl//nl/product/_msi-katana-gf66-12uc-005nl-1719492.html
ASUS, ROG Strix G17 G713RC-HX057W - 17.3 inch 144Hz - AMD Ryzen 7 - 16GB - 512 GB - GeForce RTX 3050,€1299,0,0,https://www.mediamarkt.nl//nl/product/_asus-rog-strix-g17-g713rc-hx057w-173-inch-144hz-amd-ryzen-7-16gb-512-gb-geforce-rtx-3050-1758027.html
ASUS, TUF Gaming F15 FX507ZC4-HN083W - 15.6 inch 144Hz - Intel Core i5 - 16GB - 512 GB - GeForce RTX 3050,€1099,0,0,https://www.mediamarkt.nl//nl/product/_asus-tuf-gaming-f15-fx507zc4-hn083w-156-inch-144hz-intel-core-i5-16gb-512-gb-geforce-rtx-3050-1758014.html
LENOVO, Gaming 3 15-Ryzen 5 16GB 512GB RTX3050TI,€999,1,2,https://www.mediamarkt.nl//nl/product/_lenovo-gaming-3-15-ryzen-5-16gb-512gb-rtx3050ti-1696811.html
MSI, CREATOR M16 A12UC-009NL - 15.6 inch - Intel Core i7 - 16 GB - 512 GB - RTX 3050,€1299,0,0,https://www.mediamarkt.nl//nl/product/_msi-creator-m16-a12uc-009nl-1743297.html
LENOVO, LEGION 5 - 15.6 inch - AMD Ryzen 7 - 16 GB - 512 GB - GeForce RTX 3060,€1299,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-15-ryzen7-16gb-512gb-1729756.html
,Acer Predator Triton 300 SE (PT314-51s-747E),€1599,0,0,https://www.mediamarkt.nl//nl/product/_predator-triton-300-se-pt314-51s-747e-1714252.html
ACER, PREDATOR TRITON 500 PT516-51S-703F - 16.0 inch - Intel Core i7 - 16 GB - 512 GB - RTX 3070,€1999,0,0,https://www.mediamarkt.nl//nl/product/_predator-triton-500-se-pt516-51s-703f-1714254.html
LENOVO, LEGION 5 - 15.6 inch - AMD Ryzen 7 - 16 GB - 512 GB - GeForce RTX 3050,€1249,0,0,https://www.mediamarkt.nl//nl/product/_lenovo-legion-5-15-ryzen7-16gb-512gb-rtx-3050-1729755.html
